(634, 625, 3)
(64, 766, 3)
(972, 540, 3)
(283, 988, 3)
(962, 132, 3)
(838, 45, 3)
(466, 12, 3)
(432, 633, 3)
(860, 668, 3)
(383, 268, 2)
(486, 873, 3)
(618, 934, 3)
(997, 974, 3)
(306, 450, 3)
(956, 16, 3)
(619, 582, 2)
(596, 800, 3)
(241, 687, 3)
(185, 603, 2)
(257, 684, 3)
(834, 45, 3)
(438, 659, 3)
(800, 157, 3)
(712, 947, 3)
(155, 526, 3)
(747, 137, 3)
(292, 723, 3)
(176, 237, 2)
(18, 972, 3)
(411, 969, 3)
(761, 96, 3)
(861, 578, 3)
(410, 674, 3)
(424, 996, 3)
(766, 701, 3)
(127, 380, 3)
(258, 124, 3)
(46, 708, 3)
(545, 46, 3)
(222, 378, 3)
(305, 117, 2)
(161, 339, 3)
(836, 675, 3)
(545, 937, 3)
(447, 672, 3)
(775, 208, 3)
(579, 405, 3)
(152, 729, 3)
(735, 67, 3)
(691, 773, 3)
(83, 310, 3)
(548, 696, 3)
(128, 11, 3)
(907, 753, 3)
(140, 729, 3)
(730, 564, 3)
(925, 768, 3)
(547, 564, 2)
(830, 327, 3)
(349, 37, 3)
(612, 969, 3)
(354, 61, 3)
(928, 55, 2)
(141, 941, 3)
(959, 279, 3)
(255, 719, 3)
(574, 666, 2)
(147, 0, 3)
(131, 369, 3)
(877, 298, 3)
(294, 972, 3)
(249, 875, 3)
(229, 969, 3)
(72, 692, 3)
(880, 0, 3)
(780, 493, 3)
(181, 524, 3)
(952, 553, 2)
(264, 65, 3)
(335, 150, 3)
(879, 304, 3)
(378, 940, 3)
(175, 10, 2)
(751, 726, 2)
(962, 478, 3)
(326, 447, 3)
(349, 870, 3)
(801, 435, 3)
(539, 998, 3)
(48, 663, 3)
(187, 981, 3)
(130, 529, 3)
(384, 974, 3)
(108, 621, 3)
(4, 618, 2)
(434, 764, 3)
(712, 320, 3)
(838, 830, 3)
(996, 692, 3)
(692, 509, 3)
(953, 353, 2)
(157, 518, 3)
(321, 468, 3)
(87, 756, 2)
(776, 322, 3)
(286, 845, 3)
(139, 758, 3)
(250, 108, 3)
(411, 530, 3)
(378, 335, 3)
(107, 292, 3)
(323, 759, 3)
(283, 468, 3)
(909, 468, 3)
(509, 586, 2)
(245, 111, 2)
(375, 716, 3)
(155, 787, 3)
(856, 981, 3)
(883, 552, 3)
(946, 158, 3)
(952, 374, 3)
(428, 382, 3)
(572, 87, 3)
(984, 467, 3)
(852, 615, 3)
(727, 424, 2)
(15, 649, 3)
(895, 197, 3)
(158, 561, 3)
(125, 380, 3)
(193, 329, 3)
(451, 373, 2)
(978, 819, 3)
(79, 876, 3)
(121, 470, 3)
(112, 601, 3)
(665, 426, 3)
(158, 372, 3)
(696, 825, 2)
(280, 779, 3)
(224, 752, 3)
(228, 733, 3)
(947, 934, 3)
(727, 325, 3)
(763, 472, 3)
(637, 200, 3)
(5, 101, 3)
(1, 402, 3)
